"date","ni","day"
2021-07-25,257,"Sun"
2021-07-26,2532,"Mon"
2021-07-27,2609,"Tue"
2021-07-28,2566,"Wed"
2021-07-29,2590,"Thu"
2021-07-30,2525,"Fri"
2021-07-31,276,"Sat"
2021-08-01,324,"Sun"
2021-08-02,2634,"Mon"
2021-08-03,1608,"Tue"
2021-08-04,2966,"Wed"
2021-08-05,2708,"Thu"
2021-08-06,2842,"Fri"
2021-08-07,282,"Sat"
2021-08-08,308,"Sun"
2021-08-09,3088,"Mon"
2021-08-10,2103,"Tue"
2021-08-11,2417,"Wed"
2021-08-12,2780,"Thu"
2021-08-13,2434,"Fri"
2021-08-14,207,"Sat"
2021-08-15,254,"Sun"
2021-08-16,2769,"Mon"
2021-08-17,2579,"Tue"
2021-08-18,2463,"Wed"
2021-08-19,2160,"Thu"
2021-08-20,2073,"Fri"
2021-08-21,0,NA
2021-08-22,0,NA
2021-08-23,3447,"Mon"
2021-08-24,3146,"Tue"
2021-08-25,2851,"Wed"
2021-08-26,2392,"Thu"
2021-08-27,2222,"Fri"
2021-08-28,210,"Sat"
2021-08-29,228,"Sun"
2021-08-30,1719,"Mon"
2021-08-31,2849,"Tue"
2021-09-01,2993,"Wed"
2021-09-02,2280,"Thu"
2021-09-03,2350,"Fri"
2021-09-04,247,"Sat"
2021-09-05,307,"Sun"
2021-09-06,2980,"Mon"
2021-09-07,2687,"Tue"
2021-09-08,2889,"Wed"
2021-09-09,2241,"Thu"
2021-09-10,2956,"Fri"
2021-09-11,294,"Sat"
2021-09-12,276,"Sun"
2021-09-13,2775,"Mon"
2021-09-14,3424,"Tue"
2021-09-15,2891,"Wed"
2021-09-16,2885,"Thu"
2021-09-17,2499,"Fri"
2021-09-18,253,"Sat"
2021-09-19,301,"Sun"
2021-09-20,2617,"Mon"
2021-09-21,3104,"Tue"
2021-09-22,2622,"Wed"
2021-09-23,2640,"Thu"
2021-09-24,2701,"Fri"
2021-09-25,259,"Sat"
2021-09-26,294,"Sun"
2021-09-27,2830,"Mon"
2021-09-28,3195,"Tue"
2021-09-29,2851,"Wed"
2021-09-30,3385,"Thu"
2021-10-01,2561,"Fri"
2021-10-02,247,"Sat"
2021-10-03,298,"Sun"
2021-10-04,3126,"Mon"
2021-10-05,2887,"Tue"
2021-10-06,2815,"Wed"
2021-10-07,2207,"Thu"
2021-10-08,2260,"Fri"
2021-10-09,260,"Sat"
2021-10-10,260,"Sun"
2021-10-11,2358,"Mon"
2021-10-12,3008,"Tue"
2021-10-13,2696,"Wed"
2021-10-14,3302,"Thu"
2021-10-15,2572,"Fri"
2021-10-16,250,"Sat"
2021-10-17,274,"Sun"
2021-10-18,2963,"Mon"
2021-10-19,3485,"Tue"
2021-10-20,3399,"Wed"
2021-10-21,3600,"Thu"
2021-10-22,2937,"Fri"
2021-10-23,280,"Sat"
2021-10-24,268,"Sun"
2021-10-25,3484,"Mon"
2021-10-26,2552,"Tue"
2021-10-27,2643,"Wed"
2021-10-28,2621,"Thu"
2021-10-29,2734,"Fri"
2021-10-30,250,"Sat"
2021-10-31,324,"Sun"
2021-11-01,3664,"Mon"
2021-11-02,3229,"Tue"
2021-11-03,2839,"Wed"
2021-11-04,1732,"Thu"
2021-11-05,2912,"Fri"
2021-11-06,261,"Sat"
2021-11-07,215,"Sun"
2021-11-08,3248,"Mon"
2021-11-09,3384,"Tue"
2021-11-10,3045,"Wed"
2021-11-11,2654,"Thu"
2021-11-12,2768,"Fri"
2021-11-13,0,NA
2021-11-14,558,"Sun"
2021-11-15,3138,"Mon"
2021-11-16,2625,"Tue"
2021-11-17,3111,"Wed"
2021-11-18,3296,"Thu"
2021-11-19,2503,"Fri"
2021-11-20,246,"Sat"
2021-11-21,315,"Sun"
2021-11-22,3110,"Mon"
2021-11-23,2682,"Tue"
2021-11-24,2660,"Wed"
2021-11-25,2270,"Thu"
2021-11-26,2752,"Fri"
2021-11-27,267,"Sat"
2021-11-28,276,"Sun"
2021-11-29,3195,"Mon"
2021-11-30,2642,"Tue"
