"month","Class","n","Class.name"
Jan 2021,4616,298,"Agents involved in the sale of textiles, clothing, fur, footwear and leather goods"
Jan 2021,4617,70,"Agents involved in the sale of food, beverages and tobacco"
Jan 2021,4618,102,"Agents specialised in the sale of other particular products"
Jan 2021,4619,341,"Agents involved in the sale of a variety of goods"
Jan 2021,4621,13,"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds"
Jan 2021,4622,37,"Wholesale of flowers and plants"
Jan 2021,4623,9,"Wholesale of live animals"
Jan 2021,4624,2,"Wholesale of hides, skins and leather"
Jan 2021,4631,62,"Wholesale of fruit and vegetables"
Jan 2021,4632,25,"Wholesale of meat and meat products"
Jan 2021,4633,22,"Wholesale of dairy products, eggs and edible oils and fats"
Jan 2021,4634,167,"Wholesale of beverages"
Jan 2021,4635,3,"Wholesale of tobacco products"
Jan 2021,4636,31,"Wholesale of sugar and chocolate and sugar confectionery"
Jan 2021,4637,44,"Wholesale of coffee, tea, cocoa and spices"
Jan 2021,4638,34,"Wholesale of other food, including fish, crustaceans and molluscs"
Jan 2021,4639,83,"Non-specialised wholesale of food, beverages and tobacco"
Jan 2021,4641,67,"Wholesale of textiles"
Jan 2021,4642,331,"Wholesale of clothing and footwear"
Jan 2021,4643,27,"Wholesale of electrical household appliances"
Jan 2021,4644,4,"Wholesale of china and glassware and cleaning materials"
Jan 2021,4645,173,"Wholesale of perfume and cosmetics"
Jan 2021,4646,35,"Wholesale of pharmaceutical goods"
Jan 2021,4647,49,"Wholesale of furniture, carpets and lighting equipment"
Jan 2021,4648,52,"Wholesale of watches and jewellery"
Jan 2021,4649,85,"Wholesale of other household goods"
Jan 2021,4651,71,"Wholesale of computers, computer peripheral equipment and software"
Jan 2021,4652,73,"Wholesale of electronic and telecommunications equipment and parts"
Jan 2021,4661,15,"Wholesale of agricultural machinery, equipment and supplies"
Jan 2021,4662,10,"Wholesale of machine tools"
Jan 2021,4663,3,"Wholesale of mining, construction and civil engineering machinery"
Jan 2021,4664,1,"Wholesale of machinery for the textile industry and of sewing and knitting machines"
Jan 2021,4665,13,"Wholesale of office furniture"
Jan 2021,4666,9,"Wholesale of other office machinery and equipment"
Jan 2021,4669,27,"Wholesale of other machinery and equipment"
Jan 2021,4671,12,"Wholesale of solid, liquid and gaseous fuels and related products"
Jan 2021,4672,9,"Wholesale of metals and metal ores"
Jan 2021,4673,27,"Wholesale of wood, construction materials and sanitary equipment"
Jan 2021,4674,29,"Wholesale of hardware, plumbing and heating equipment and supplies"
Jan 2021,4675,15,"Wholesale of chemical products"
Jan 2021,4676,32,"Wholesale of other intermediate products"
Jan 2021,4677,17,"Wholesale of waste and scrap"
Jan 2021,4690,447,"Non-specialised wholesale trade"
Jan 2021,4711,337,"Retail sale in non-specialised stores with food, beverages or tobacco predominating"
Jan 2021,4719,684,"Other retail sale in non-specialised stores"
Jan 2021,4721,43,"Retail sale of fruit and vegetables in specialised stores"
Jan 2021,4722,46,"Retail sale of meat and meat products in specialised stores"
Jan 2021,4723,20,"Retail sale of fish, crustaceans and molluscs in specialised stores"
Jan 2021,4724,105,"Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores"
Jan 2021,4725,54,"Retail sale of beverages in specialised stores"
Jan 2021,4726,28,"Retail sale of tobacco products in specialised stores"
Jan 2021,4729,158,"Other retail sale of food in specialised stores"
Jan 2021,4730,11,"Retail sale of automotive fuel in specialised stores"
Jan 2021,4741,73,"Retail sale of computers, peripheral units and software in specialised stores"
Jan 2021,4742,95,"Retail sale of telecommunications equipment in specialised stores"
Jan 2021,4743,10,"Retail sale of audio and video equipment in specialised stores"
Jan 2021,4751,60,"Retail sale of textiles in specialised stores"
Jan 2021,4752,29,"Retail sale of hardware, paints and glass in specialised stores"
Jan 2021,4753,52,"Retail sale of carpets, rugs, wall and floor coverings in specialised stores"
Jan 2021,4754,39,"Retail sale of electrical household appliances in specialised stores"
Jan 2021,4759,152,"Retail sale of furniture, lighting equipment and other household articles in specialised stores"
Jan 2021,4761,31,"Retail sale of books in specialised stores"
Jan 2021,4762,16,"Retail sale of newspapers and stationery in specialised stores"
Jan 2021,4763,33,"Retail sale of music and video recordings in specialised stores"
Jan 2021,4764,221,"Retail sale of sporting equipment in specialised stores"
Jan 2021,4765,103,"Retail sale of games and toys in specialised stores"
Jan 2021,4771,727,"Retail sale of clothing in specialised stores"
Jan 2021,4772,35,"Retail sale of footwear and leather goods in specialised stores"
Jan 2021,4773,34,"Dispensing chemist in specialised stores"
Jan 2021,4774,41,"Retail sale of medical and orthopaedic goods in specialised stores"
Jan 2021,4775,179,"Retail sale of cosmetic and toilet articles in specialised stores"
Jan 2021,4776,142,"Retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores"
Jan 2021,4777,112,"Retail sale of watches and jewellery in specialised stores"
Jan 2021,4778,192,"Other retail sale of new goods in specialised stores"
Jan 2021,4779,41,"Retail sale of second-hand goods in stores"
Jan 2021,4781,31,"Retail sale via stalls and markets of food, beverages and tobacco products"
Jan 2021,4782,77,"Retail sale via stalls and markets of textiles, clothing and footwear"
Jan 2021,4789,73,"Retail sale via stalls and markets of other goods"
Jan 2021,4791,4164,"Retail sale via mail order houses or via Internet"
Jan 2021,4799,1138,"Other retail sale not in stores, stalls or markets"
Feb 2021,4511,602,"Sale of cars and light motor vehicles"
Feb 2021,4519,176,"Sale of other motor vehicles"
Feb 2021,4520,522,"Maintenance and repair of motor vehicles"
Feb 2021,4531,57,"Wholesale trade of motor vehicle parts and accessories"
Feb 2021,4532,153,"Retail trade of motor vehicle parts and accessories"
Feb 2021,4540,39,"Sale, maintenance and repair of motorcycles and related parts and accessories"
Feb 2021,4611,35,"Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods"
Feb 2021,4612,23,"Agents involved in the sale of fuels, ores, metals and industrial chemicals"
Feb 2021,4613,48,"Agents involved in the sale of timber and building materials"
Feb 2021,4614,35,"Agents involved in the sale of machinery, industrial equipment, ships and aircraft"
Feb 2021,4615,109,"Agents involved in the sale of furniture, household goods, hardware and ironmongery"
Feb 2021,4616,322,"Agents involved in the sale of textiles, clothing, fur, footwear and leather goods"
Feb 2021,4617,82,"Agents involved in the sale of food, beverages and tobacco"
Feb 2021,4618,127,"Agents specialised in the sale of other particular products"
Feb 2021,4619,363,"Agents involved in the sale of a variety of goods"
Feb 2021,4621,14,"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds"
Feb 2021,4622,21,"Wholesale of flowers and plants"
Feb 2021,4623,11,"Wholesale of live animals"
Feb 2021,4624,1,"Wholesale of hides, skins and leather"
Feb 2021,4631,79,"Wholesale of fruit and vegetables"
Feb 2021,4632,34,"Wholesale of meat and meat products"
Feb 2021,4633,13,"Wholesale of dairy products, eggs and edible oils and fats"
Feb 2021,4634,156,"Wholesale of beverages"
Feb 2021,4635,5,"Wholesale of tobacco products"
Feb 2021,4636,35,"Wholesale of sugar and chocolate and sugar confectionery"
Feb 2021,4637,59,"Wholesale of coffee, tea, cocoa and spices"
Feb 2021,4638,34,"Wholesale of other food, including fish, crustaceans and molluscs"
Feb 2021,4639,61,"Non-specialised wholesale of food, beverages and tobacco"
Feb 2021,4641,52,"Wholesale of textiles"
Feb 2021,4642,333,"Wholesale of clothing and footwear"
Feb 2021,4643,24,"Wholesale of electrical household appliances"
Feb 2021,4644,12,"Wholesale of china and glassware and cleaning materials"
Feb 2021,4645,167,"Wholesale of perfume and cosmetics"
Feb 2021,4646,44,"Wholesale of pharmaceutical goods"
Feb 2021,4647,36,"Wholesale of furniture, carpets and lighting equipment"
Feb 2021,4648,45,"Wholesale of watches and jewellery"
Feb 2021,4649,84,"Wholesale of other household goods"
Feb 2021,4651,84,"Wholesale of computers, computer peripheral equipment and software"
Feb 2021,4652,47,"Wholesale of electronic and telecommunications equipment and parts"
Feb 2021,4661,11,"Wholesale of agricultural machinery, equipment and supplies"
Feb 2021,4662,15,"Wholesale of machine tools"
Feb 2021,4663,9,"Wholesale of mining, construction and civil engineering machinery"
Feb 2021,4664,1,"Wholesale of machinery for the textile industry and of sewing and knitting machines"
Feb 2021,4665,9,"Wholesale of office furniture"
Feb 2021,4666,8,"Wholesale of other office machinery and equipment"
Feb 2021,4669,30,"Wholesale of other machinery and equipment"
Feb 2021,4671,17,"Wholesale of solid, liquid and gaseous fuels and related products"
Feb 2021,4672,20,"Wholesale of metals and metal ores"
Feb 2021,4673,28,"Wholesale of wood, construction materials and sanitary equipment"
Feb 2021,4674,32,"Wholesale of hardware, plumbing and heating equipment and supplies"
Feb 2021,4675,12,"Wholesale of chemical products"
Feb 2021,4676,34,"Wholesale of other intermediate products"
Feb 2021,4677,28,"Wholesale of waste and scrap"
Feb 2021,4690,446,"Non-specialised wholesale trade"
Feb 2021,4711,395,"Retail sale in non-specialised stores with food, beverages or tobacco predominating"
Feb 2021,4719,704,"Other retail sale in non-specialised stores"
Feb 2021,4721,53,"Retail sale of fruit and vegetables in specialised stores"
